Bank_Name,Year,Bank_Type,Deposits_Cr,Advances_Cr,Total_Assets_Cr,Net_Profit_Cr,Gross_NPA_Cr,Net_NPA_Cr,Net_NPA_Pct,Return_on_Assets_Pct,Capital_Adequacy_Ratio_Pct,Credit_Deposit_Ratio,Business_Per_Employee_Cr,Profit_Per_Employee_Lakh,ATMs_Total,ATMs_OnSite,ATMs_OffSite,PoS_Terminals,Micro_ATMs,UPI_QR_Codes,Bharat_QR_Codes,Credit_Cards_Outstanding,Debit_Cards_Outstanding
Au Small Finance Bank Ltd.,2022,Small Finance Bank,52585.0,46095.0,69077.8,1131.0,924.38,271.85,0.5,1.87,20.99,87.66,2.96,4.58,707.0,701.0,6.0,0.0,856.0,358515.0,0.0,970270.0,8944239.0
Au Small Finance Bank Ltd.,2023,Small Finance Bank,69365.0,58422.0,90216.11,1427.0,981.31,245.1588,0.42,1.79,23.59,84.22,3.68,5.0,707.0,701.0,6.0,0.0,856.0,358515.0,0.0,970270.0,8944239.0
Au Small Finance Bank Ltd.,2024,Small Finance Bank,87182.0,73163.0,109425.6699,1535.0,1237.4004,400.9897,0.55,1.54,20.06,83.92,4.65,5.33,707.0,701.0,6.0,0.0,856.0,358515.0,0.0,970270.0,8944239.0
Axis Bank Ltd.,2022,Private sector,821971.55,707946.59,1175428.75,13025.48,22681.0,6584.0,0.73,1.21,18.54,86.1278702407644,17.92,15.54,13337.0,6539.0,6797.0,2397148.0,184.0,111496807.0,609331.0,15345023.0,41193811.0
Axis Bank Ltd.,2023,Private sector,946945.21,845302.84,1317325.53,9579.68,18604.23,3558.92,0.39,0.8,17.64,89.2662881731035,20.0,10.94,13337.0,6539.0,6797.0,2397148.0,184.0,111496807.0,609331.0,15345023.0,41193811.0
Axis Bank Ltd.,2024,Private sector,1068641.39,965068.38,1477208.6,24861.43,15127.12,3247.47,0.31,1.83,16.63,90.3079731920172,20.19,25.29,13337.0,6539.0,6797.0,2397148.0,184.0,111496807.0,609331.0,15345023.0,41193811.0
Bandhan Bank,2022,Private sector,96331.0,93975.0,138995.0,125.79,6380.0,1564.0,1.66427241287576,0.11,20.1,97.5542660202842,3.25,0.23,430.0,425.0,5.0,70645.0,0.0,0.0,37064.0,1625.0,6479562.0
Bandhan Bank,2023,Private sector,108064.69,104756.769,156037.092,2194.638,5298.62,1228.27,1.17249702498938,1.56,19.76,96.9389437012219,3.02,3.36,430.0,425.0,5.0,70645.0,0.0,0.0,37064.0,1625.0,6479562.0
Bandhan Bank,2024,Private sector,135201.98,121136.783,177841.659,2229.562,4784.88,1347.61,1.11246969469216,1.44,18.28,89.5969001341548,3.19,3.0,430.0,425.0,5.0,70645.0,0.0,0.0,37064.0,1625.0,6479562.0
Bank of Baroda,2022,Public sector bank,1045938.56,777155.18,1277999.83,22388.85,54059.39,13364.65,1.71968872420049,0.6,15.68,74.302182720943,22.05,9.11,11356.0,8900.0,2456.0,54339.0,42916.0,2837472.0,25239.0,3042259.0,88366562.0
Bank of Baroda,2023,Public sector bank,1203687.79,940998.27,1458561.54,26863.54,36763.68,8384.32,0.891002700780736,1.03,16.24,78.1762744307642,26.66,18.06,11356.0,8900.0,2456.0,54339.0,42916.0,2837472.0,25239.0,3042259.0,88366562.0
Bank of Baroda,2024,Public sector bank,1326957.84,1065781.72,1585797.09,30965.22,31833.63,7213.34,0.676812133726595,1.17,16.31,80.3176776136309,30.46,23.56,11356.0,8900.0,2456.0,54339.0,42916.0,2837472.0,25239.0,3042259.0,88366562.0
Bank of India,2022,Public sector bank,627895.96,420841.79,734614.01,9988.45,45605.4,9851.93,2.34100563064329,0.43,16.51,67.024127691473,20.71,6.5,7809.0,5260.0,2549.0,18700.0,24369.0,1335499.0,0.0,85943.0,37488282.0
Bank of India,2023,Public sector bank,669586.0,485899.64,815556.0,13392.62,37685.56,8053.61,1.65746366883499,0.49,16.28,72.5671743435496,22.47,7.6,7809.0,5260.0,2549.0,18700.0,24369.0,1335499.0,0.0,85943.0,37488282.0
Bank of India,2024,Public sector bank,737920.21,563144.67,912597.92,14068.61,29182.77,6845.25,1.21554022698998,0.7,16.96,76.3151167793602,25.87,12.35,7809.0,5260.0,2549.0,18700.0,24369.0,1335499.0,0.0,85943.0,37488282.0
Bank of Maharashtra,2022,Public sector bank,202294.29,131170.44,230611.37,4847.87,5327.21,1276.57,0.973214696847857,0.55,16.48,64.8413951772934,26.53,9.05,2539.0,2290.0,249.0,187.0,6067.0,951394.0,355014.0,11322.0,13590171.0
Bank of Maharashtra,2023,Public sector bank,234082.68,171220.67,267651.39,6099.21,4334.0,435.18,0.254163238585622,1.1,18.14,73.1453817941592,31.45,20.05,2539.0,2290.0,249.0,187.0,6067.0,951394.0,355014.0,11322.0,13590171.0
Bank of Maharashtra,2024,Public sector bank,270747.17,200239.88,307137.86,8005.34,3833.05,408.99,0.204250022522986,1.5,17.38,73.9582541158233,35.0,30.04,2539.0,2290.0,249.0,187.0,6067.0,951394.0,355014.0,11322.0,13590171.0
Canara Bank,2022,Public sector bank,1086409.25,703601.82,1228104.88,23088.98,55651.58,18668.02,2.65320803178138,0.48,14.9,64.7639754540013,19.91,6.53,11047.0,7543.0,3504.0,84073.0,10646.0,3684579.0,0.0,1050267.0,60801012.0
Canara Bank,2023,Public sector bank,1179218.61,830672.55,1345732.25,27716.01,46159.51,14349.33,1.72743519693771,0.81,16.68,70.4426255620237,22.45,12.0,11047.0,7543.0,3504.0,84073.0,10646.0,3684579.0,0.0,1050267.0,60801012.0
Canara Bank,2024,Public sector bank,1312366.61,931612.83,1491540.72,29412.59,40604.57,11822.83,1.26907118700802,1.01,16.28,70.9872396098221,25.97,18.0,11047.0,7543.0,3504.0,84073.0,10646.0,3684579.0,0.0,1050267.0,60801012.0
Capital Small Finance Bank Ltd.,2022,Small Finance Bank,6046.0,4635.0,7153.92,62.0,117.13,63.23,1.36,0.92,18.63,76.65,6.59,3.84,200.0,198.0,2.0,0.0,0.0,0.0,0.0,0.0,235208.0
Capital Small Finance Bank Ltd.,2023,Small Finance Bank,6561.0,5429.0,7990.77,93.0,152.62,74.05,1.36,1.22,18.87,82.75,6.99,5.42,200.0,198.0,2.0,0.0,0.0,0.0,0.0,0.0,235208.0
Capital Small Finance Bank Ltd.,2024,Small Finance Bank,7478.0,6075.0,9295.28,112.0,170.18,85.07,1.4,1.27,27.39,81.24,7.4,6.05,200.0,198.0,2.0,0.0,0.0,0.0,0.0,0.0,235208.0
Central Bank of India,2022,Public sector bank,342691.94,168173.5,386422.51,5197.15,28156.22,6675.17,3.96921631529343,0.3,13.84,49.0742501851663,17.15,3.38,4127.0,2926.0,1202.0,3363.0,2722.0,2043231.0,37571.0,0.0,29269967.0
Central Bank of India,2023,Public sector bank,359296.47,202984.31,406165.49,6883.76,18436.48,3627.22,1.78694599597378,0.44,14.12,56.4949357838111,18.45,5.07,4127.0,2926.0,1202.0,3363.0,2722.0,2043231.0,37571.0,0.0,29269967.0
Central Bank of India,2024,Public sector bank,385011.32,243406.28,446672.69,7362.68,11398.44,3038.41,1.2482874312035,0.63,15.08,63.2205515411859,19.94,8.0,4127.0,2926.0,1202.0,3363.0,2722.0,2043231.0,37571.0,0.0,29269967.0
City Union Bank Ltd.,2022,Private sector,47689.6698,40358.4682,61530.91,760.16,1933.1774,1191.1005,2.95130254720619,1.35,20.85,84.627275402104,16.55,14.0,1729.0,1244.0,485.0,7124.0,63629.0,71392.0,0.0,50950.0,3251047.0
City Union Bank Ltd.,2023,Private sector,52397.85,43053.34,66594.56,937.47,1920.16,1017.63,2.3636493707573,1.46,22.34,82.1662339199032,15.98,15.58,1729.0,1244.0,485.0,7124.0,63629.0,71392.0,0.0,50950.0,3251047.0
City Union Bank Ltd.,2024,Private sector,55656.64,45525.719,70825.868,1015.73,1854.43,898.677,1.97399847765172,1.52,23.84,81.7974620817929,14.21,14.13,1729.0,1244.0,485.0,7124.0,63629.0,71392.0,0.0,50950.0,3251047.0
DCB Bank Ltd.,2022,Private sector,34691.69,29095.78,44792.56,287.5,1289.93,573.23,1.97014824830267,0.7,18.92,83.8695952834814,8.61,4.0,440.0,435.0,5.0,0.0,0.0,0.0,0.0,2553.0,1113887.0
